type	ear	pollen	target_id
mRNA	0.0	0.940167	Transcript_19
mRNA	3.79293	1.52809	Transcript_40
mRNA	0.0	87.2091	Transcript_65
mRNA	1.49949	8.05483	Transcript_92
mRNA	0.0	1.5056	Transcript_95
mRNA	0.0	2.32006	Transcript_96
mRNA	2.48417	2.82345	Transcript_141
mRNA	0.0	1.2592700000000001	Transcript_146
mRNA	0.0	3.63838	Transcript_155
mRNA	1.52278	3.0674799999999998	Transcript_157
mRNA	0.0	1.9588900000000002	Transcript_163
mRNA	1.11061	1.50461	Transcript_177
mRNA	0.0	0.6908890000000001	Transcript_181
mRNA	0.0271303	17.7677	Transcript_186
mRNA	0.0	55.208	Transcript_188
mRNA	0.0	0.0	Transcript_189
mRNA	0.467228	0.386369	Transcript_190
mRNA	0.0	3.6381699999999997	Transcript_191
mRNA	6.13885	1.9527599999999998	Transcript_196
mRNA	0.235459	12.7519	Transcript_197
mRNA	0.0	35.4581	Transcript_199
mRNA	0.0	4.0166699999999995	Transcript_200
mRNA	2.3978099999999998	2.25312e-05	Transcript_202
mRNA	0.0	1.08233	Transcript_203
mRNA	0.0	3.2539599999999997	Transcript_206
mRNA	0.0	1.9850299999999999	Transcript_208
mRNA	0.0	5.86477	Transcript_209
mRNA	1.9126900000000002	2.7662	Transcript_210
mRNA	0.0	5.47495	Transcript_212
mRNA	0.9666870000000001	0.0274506	Transcript_213
mRNA	0.0	3.9299800000000005	Transcript_214
mRNA	0.0	2.85398	Transcript_218
mRNA	1.55595	1.70438	Transcript_219
mRNA	11.3923	2.7679400000000003	Transcript_220
mRNA	0.0	1.16994	Transcript_221
mRNA	0.0924123	1.546e-08	Transcript_226
mRNA	0.0	6.6262	Transcript_227
mRNA	2.02351	2.47783	Transcript_228
mRNA	0.0	0.21438800000000002	Transcript_229
mRNA	0.0	0.0	Transcript_230
mRNA	0.0	7.975289999999999	Transcript_231
mRNA	2.08187	3.42257	Transcript_232
mRNA	0.0	4.2683800000000005	Transcript_233
mRNA	0.0686451	3.61536	Transcript_234
mRNA	0.0	11.065	Transcript_238
mRNA	0.0	14.8263	Transcript_240
mRNA	6.794460000000001	3.59796	Transcript_242
mRNA	2.74799	32.4178	Transcript_244
mRNA	0.0	2.18066	Transcript_245
mRNA	0.000226978	4.67665	Transcript_246
mRNA	1.01423e-08	2.6370400000000003	Transcript_247
mRNA	7.80209	17.8413	Transcript_248
mRNA	0.0	3.94495	Transcript_249
mRNA	0.0	6.61843	Transcript_250
mRNA	0.0	1.9141299999999999	Transcript_251
mRNA	4.10519e-07	2.5449900000000003	Transcript_257
mRNA	7.46489	9.13008	Transcript_261
mRNA	0.0	0.0	Transcript_263
mRNA	6.650960000000001e-08	3.94821	Transcript_266
mRNA	6.54103	34.5186	Transcript_267
mRNA	0.0	2.1968900000000002	Transcript_272
mRNA	6.77485	4.472519999999999	Transcript_278
mRNA	0.0	3.4667199999999996	Transcript_280
mRNA	0.000417141	4.65841	Transcript_281
mRNA	2.5381099999999996	23.3875	Transcript_282
mRNA	0.0	6.33756	Transcript_287
mRNA	0.0	7.92541	Transcript_289
mRNA	5.8761700000000004e-08	6.02934	Transcript_290
mRNA	1.60455	4.6251	Transcript_291
mRNA	1.4104000000000002e-08	2.23307	Transcript_293
mRNA	0.395559	12.7086	Transcript_295
mRNA	1.47478	5.05999	Transcript_297
mRNA	0.0	4.85973	Transcript_298
mRNA	7.79357	15.7481	Transcript_299
mRNA	2.9569799999999997	0.0	Transcript_300
mRNA	2.67493	5.56853	Transcript_301
mRNA	11.3468	7.82218	Transcript_303
mRNA	5.60873	30.4325	Transcript_304
mRNA	1.1271900000000001e-05	5.273	Transcript_305
mRNA	8.45365e-08	7.86187	Transcript_306
mRNA	0.0	0.0160465	Transcript_311
mRNA	0.0	3.7966800000000003	Transcript_314
mRNA	1.29281	3.16328	Transcript_317
mRNA	2.05037	71.6191	Transcript_318
mRNA	0.0	0.11574200000000001	Transcript_320
mRNA	2.80523	3.12144	Transcript_321
mRNA	1.04508	3.01105	Transcript_323
mRNA	1.66418	11.0551	Transcript_324
mRNA	1.0938600000000002e-06	4.245019999999999	Transcript_325
mRNA	0.0	3.6836900000000004	Transcript_326
mRNA	11.030999999999999	5.54594	Transcript_327
mRNA	0.545587	2.93341	Transcript_328
mRNA	3.02923	7.679939999999999	Transcript_330
mRNA	1.7208299999999999	3.90374	Transcript_331
mRNA	0.0	1.1047	Transcript_332
mRNA	0.8497309999999999	3.17517	Transcript_335
mRNA	2.19025	5.25931e-05	Transcript_337
mRNA	2.38298	3.39514	Transcript_338
mRNA	2.78652	3.29501	Transcript_339
mRNA	8.27415	6.738569999999999	Transcript_340
mRNA	2.54123	2.8792400000000002	Transcript_342
mRNA	0.255815	3.2063599999999997	Transcript_343
mRNA	0.0	4.02658	Transcript_344
mRNA	0.634417	5.00516	Transcript_345
mRNA	0.66713	2.4828200000000002	Transcript_346
mRNA	5.75231	3.4961900000000004	Transcript_347
mRNA	0.0	6.1146400000000005	Transcript_348
mRNA	0.0	0.969349	Transcript_349
mRNA	1.10559	1.62348	Transcript_350
mRNA	3.63519	7.56308	Transcript_353
mRNA	8.233410000000001	81.3756	Transcript_356
mRNA	9.88397	34.2581	Transcript_357
mRNA	7.55232	52.8076	Transcript_359
mRNA	15.0078	11.277000000000001	Transcript_360
mRNA	0.739942	8.48521	Transcript_361
mRNA	0.0	0.441367	Transcript_362
mRNA	2.90645e-09	2.96908	Transcript_363
mRNA	1.11006	0.9047649999999999	Transcript_364
mRNA	0.0	4.20392	Transcript_365
mRNA	1.10739e-09	8.60555	Transcript_366
mRNA	2.4012	25.8532	Transcript_372
mRNA	0.0	4.29781	Transcript_374
mRNA	0.0	1.20397	Transcript_375
mRNA	0.0	9.39724	Transcript_377
mRNA	0.00014325700000000001	5.50068	Transcript_378
mRNA	0.235585	3.4680800000000005	Transcript_380
mRNA	1.8574700000000002	1.39999	Transcript_381
mRNA	9.77712e-10	11.6443	Transcript_382
mRNA	5.3823300000000005	4.77687	Transcript_383
mRNA	2.5226	3.04891	Transcript_389
mRNA	0.9218200000000001	2.4305	Transcript_390
mRNA	0.558466	4.78366	Transcript_391
mRNA	1.19639e-05	6.160880000000001	Transcript_393
mRNA	1.8115400000000002	2.69272	Transcript_394
mRNA	0.0	1.6594900000000001	Transcript_395
mRNA	0.450029	1.32875	Transcript_396
mRNA	2.42888	3.27895	Transcript_402
mRNA	0.0	3.33543	Transcript_403
mRNA	0.0	5.332380000000001	Transcript_405
mRNA	0.438205	0.7386520000000001	Transcript_406
mRNA	0.431658	10.7334	Transcript_407
mRNA	0.0	4.0526599999999995	Transcript_408
mRNA	7.906289999999999	8.402339999999999	Transcript_409
mRNA	0.00237828	4.5717e-08	Transcript_410
mRNA	0.0	0.0274555	Transcript_416
mRNA	0.023327200000000003	9.66359	Transcript_417
mRNA	3.97579	3.01757	Transcript_418
mRNA	0.0	0.0	Transcript_419
mRNA	6.733e-10	2.18993	Transcript_420
mRNA	0.0	7.81668	Transcript_421
mRNA	0.0	1.98585	Transcript_422
mRNA	0.79691	2.94884	Transcript_423
mRNA	0.0	1.7277200000000001	Transcript_424
